+--------+---------------+-------+--------+------+----------+
|movie_id|    movie_genre|user_id|movie_id|rating| timestamp|
+--------+---------------+-------+--------+------+----------+
|       5|         Comedy|      2|       5|   3.0| 867039249|
|       5|          Crime|      2|       5|   3.0| 867039249|
|    1408|      Adventure|     15|    1408|   5.0|1346008714|
|    1408|         Action|     15|    1408|   5.0|1346008714|
|     524|          Crime|     24|     524|   2.0| 979870484|
|     524|          Drama|     24|     524|   2.0| 979870484|
|    1408|      Adventure|     24|    1408|   3.0| 979870731|
|    1408|         Action|     24|    1408|   3.0| 979870731|
|     902|      Adventure|     36|     902|   2.0| 965349039|
|     902|Science Fiction|     36|     902|   2.0| 965349039|
|     902|        Fantasy|     36|     902|   2.0| 965349039|
|       5|         Comedy|     40|       5|   4.0| 862515493|
|       5|          Crime|     40|       5|   4.0| 862515493|
|     902|      Adventure|     41|     902|   4.0|1445255341|
|     902|Science Fiction|     41|     902|   4.0|1445255341|
|     902|        Fantasy|     41|     902|   4.0|1445255341|
|     524|          Crime|     43|     524|   2.5|1179200291|
|     524|          Drama|     43|     524|   2.5|1179200291|
|     902|      Adventure|     43|     902|   4.5|1179197971|
|     902|Science Fiction|     43|     902|   4.5|1179197971|
+--------+---------------+-------+--------+------+----------+

